rank,parcel_opportunity_score,owner,prop_id,situs,acres,node_name,node_edge_miles,frontage_roads,corner_signal,raw_score,future_residential_lots_nearby,aadt,aadt_5yr_growth_pct,nearest_retail_catalyst,flood_pct,floodway_pct,future_land_use,assessed_value,assessed_value_per_acre,land_value_per_acre,last_deed_date,hold_years,utility_confidence,why_this_tract,verification_notes
11,84.8,SAN ANTONIO HOUSING TRUST PUBLIC FACILITY CORPORATION,1428493,RESEARCH PLAZA,6.83,Louis Bauer Dr / Laser Dr (Brooks),0.242,RESEARCH PLAZA | S NEW BRAUNFELS AVE | CHALLENGER DR | TUSKEEGEE RD,YES,96.3,2689.8,10307,17.4,H-E-B Foster campus,0.0,0.0,Regional Mixed-Use / Brooks Area Regional Center Plan | Regional Mixed-Use / Brooks Area Regional Center Plan,2847640.0,416931.0,404060.0,2024-08-07,2.1,PROXY,road frontage · within ¼ mile of priority intersection · 2689 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
12,84.7,SCHERTZ 1518 LTD,309935,LOWER SEGUIN RD,35.14,FM 1516 / I-10 East,0.478,LOWER SEGUIN RD | SCHNEBLY DR,STRONG,100,2930.2,6664,58.5,I-10 / Loop 1604 East H-E-B,0.0,0.0,,1701808.0,48429.0,48429.0,2005-07-01,21.2,UNKNOWN,corner exposure on a major road · within ½ mile of priority intersection · 2930 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
13,84.3,METHODIST HEALTHCARE SYSTEM OF SAN ANTONIO LTD LLP,688695,SW LOOP 410,9.14,S Zarzamora / Mitra Way (VIDA),0.171,S Zarzamora St | SW LOOP 410 ACCESS RD | S ZARZAMORA | MITRA WAY,STRONG,100,1179.3,21950,22.4,H-E-B Foster campus,0.0,0.0,General Urban Tier / Heritage South,2590180.0,283389.0,283389.0,2024-11-19,1.8,PROXY,corner exposure on a major road · within ¼ mile of priority intersection · 1179 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
14,84.0,VHS SAN ANTONIO PARTNERS LLC,1122022,8010  CHENNAULT PATH,19.95,Louis Bauer Dr / Laser Dr (Brooks),0.09,CHENNAULT PATH | TUSKEEGEE RD | RESEARCH PLAZA | INNER CIRCLE DR,YES,89.5,2689.8,28899,-8.7,H-E-B Foster campus,0.0,0.0,Business/Innovation Mixed-Use / Brooks Area Regional Center Plan | Business/Innovation Mixed-Use / Brooks Area Regional Center Plan,6900000.0,345865.0,332531.0,2012-10-22,13.9,PROXY,road frontage · within ¼ mile of priority intersection · 2689 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
15,83.4,CARIMAR RANCH LLC,209143,15484 W FM 471,10.58,Culebra Rd / SH 211,0.113,CULEBRA RD,NO,86.5,8293.8,11644,38.8,Culebra / SH 211 H-E-B,0.0,0.0,,2150000.0,203214.0,194464.0,2017-05-10,9.4,UNKNOWN,major-road frontage · within ¼ mile of priority intersection · 8293 weighted future residential lots nearby · 0.2 mi from Culebra / SH 211 H-E-B,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
16,83.4,MMP VENTURES LLC,990673,W LOOP 1604,6.96,Loop 1604 / Green Rd,0.13,E LOOP 1604 N,NO,100,3928.8,2381,7.3,I-10 / Loop 1604 East H-E-B,0.0,0.0,,455510.0,65447.0,65447.0,2007-05-09,19.4,UNKNOWN,major-road frontage · within ¼ mile of priority intersection · 3928 weighted future residential lots nearby · 1.9 mi from I-10 / Loop 1604 East H-E-B,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
17,83.4,RATER JEWELL,200768,1996  GROSENBACHER RD,5.56,Talley Rd / Potranco Rd,0.543,Unnamed road | GROSENBACHER RD | W GROSENBACHER RD | CANTHREE DR,STRONG,99.4,11439.6,6400,0,Culebra / SH 211 H-E-B,0.0,0.0,Urban Low Density Residential,753770.0,135570.0,134921.0,,,UNKNOWN,corner exposure on a major road · within 1 mile of priority intersection · 11439 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
18,83.2,AMBER CREEK OWNERS ASSN INC,1177697,9938  BALBOA IS,4.63,US 90 / Loop 1604 West,0.337,PLACID BAY | Unnamed road | PICCOLO CRK | REDSPEAR FALLS,YES,100,4718.1,55327,58.0,Culebra / SH 211 H-E-B,0.0,0.0,Urban Low Density Residential,100.0,22.0,22.0,2012-04-11,14.5,PROXY,road frontage · within ½ mile of priority intersection · 4718 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
19,83.1,SAN ANTONIO HOUSING TRUST PUBLIC FACILITY CORPORATION,1428309,RESEARCH BLVD,13.05,Louis Bauer Dr / Laser Dr (Brooks),0.353,LINDBERGH LANDING | INNER CIRCLE DR | RESEARCH PLAZA | CHALLENGER DR,YES,100,2689.8,10307,17.4,H-E-B Foster campus,0.0,0.0,Regional Mixed-Use / Brooks Area Regional Center Plan | Regional Mixed-Use / Brooks Area Regional Center Plan,5275290.0,404237.0,404237.0,,,PROXY,road frontage · within ½ mile of priority intersection · 2689 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
20,83.0,KRIEWALD PLACE ASSOCIATION INC,1212267,STILL POND POND,11.03,US 90 / Loop 1604 West,0.178,Unnamed road | STILL POND | MCCOY BEND,YES,100,4718.1,5785,134.3,Culebra / SH 211 H-E-B,3.3,0.0,Urban Low Density Residential,100.0,9.0,9.0,2014-12-18,11.8,PROXY,road frontage · within ¼ mile of priority intersection · 4718 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
